,Unnamed: 0,cat,word/character,pronunciation,definition,code,alt
0,0,1,的,de,<grammatical particle marking genitive as well as simple and composed adjectives>,s,
1,1,1,的,de,<grammatical particle marking genitive as well as simple and composed adjectives>,t,
2,2,1,我的,Wǒ de,mine,s,
3,3,1,我的,Wǒ de,mine,t,
4,4,1,高的,Gāo de," gāode high, tall",s,
5,5,1,高的,Gāo de,"高的 gāode high, tall",t,
6,6,1,是的,Shì de," shìde that's it, that's right",s,
7,7,1,是的,Shì de,"是的 shìde that's it, that's right",t,
8,8,1,是的,Shì de,shìde one who...,s,
9,9,1,是的,Shì de,shìde one who...,t,
10,10,1,他是说汉语的,Tā shì shuō hànyǔ de,Tā shì shuō Hànyǔde. He is one who speaks Chinese.,s,
11,11,1,他是說漢語的,Tā shì shuō hànyǔ de,他是說漢語的. Tā shì shuō Hànyǔde. He is one who speaks Chinese.,t,
12,12,1,目的,Mùdì, mùdì goal,s,
13,13,1,目的,Mùdì,目的 mùdì goal,t,
14,14,1,的,dí,"true, real",s,
15,15,1,的,dí,"true, real",t,
16,16,1,的确,Díquè, díquè certainly,s,
17,17,1,的確,Díquè,的確 díquè certainly,t,
18,18,2,一,yī,"one, a little",s,壹
19,19,2,一,yī,"one, a little",t,壹
20,20,2,第一,Dì yī," dì-yī first, primary",s,壹
21,21,2,第一,Dì yī,"第一 dì-yī first, primary",t,壹
22,22,2,看一看,Kàn yī kàn, kànyīkàn have a (quick) look at,s,壹
23,23,2,看一看,Kàn yī kàn,看一看 kànyīkàn have a (quick) look at,t,壹
24,24,2,一,yí,(used before tones #4 and #5),s,壹
25,25,2,一,yí,(used before tones #4 and #5),t,壹
26,26,2,一个人,Yīgè rén, yíge rén one person,s,壹
27,27,2,一個人,Yīgèrén,一個人 yíge rén one person,t,壹
28,28,2,一定,Yīdìng, yídìng certain,s,壹
29,29,2,一定,Yīdìng,一定 yídìng certain,t,壹
30,30,2,一样,Yīyàng, yíyàng same,s,壹
31,31,2,一樣,Yīyàng,一樣 yíyàng same,t,壹
32,32,2,一月,Yī yuè, yíyuè January,s,壹
33,33,2,一月,Yī yuè,一月 yíyuè January,t,壹
34,34,2,一,yì,"(used before tones #1, #2 and #3)",s,壹
35,35,2,一,yì,"(used before tones #1, #2 and #3)",t,壹
36,36,2,一点儿,Yīdiǎn er, yìdiǎnr a little,s,壹
37,37,2,一點兒,Yīdiǎn er,一點兒 yìdiǎnr a little,t,壹
38,38,2,一些,Yīxiē,"yìxiē some {Compare with 幺 yāo, which also means one}",s,壹
39,39,2,一些,Yīxiē,"yìxiē some {Compare with 幺 yāo, which also means one}",t,壹
40,40,3,是,shì,"to be, 是不是? shìbushì? is (it) or is (it) not?",s,
41,41,3,是,shì,"to be, 是不是? shìbushì? is (it) or is (it) not?",t,
42,42,3,是否,Shìfǒu," shìfǒu whether or not, is (it) or is (it) not?",s,
43,43,3,是否,Shìfǒu,"是否 shìfǒu whether or not, is (it) or is (it) not?",t,
44,44,4,不,bù,No,s,
45,45,4,不,bù,No,t,
46,46,4,不,bú,(used before tone #4),s,
47,47,4,不,bú,(used before tone #4),t,
48,48,4,不是,Bùshì, bú shì isn't,s,
49,49,4,不是,Bùshì,不是 bú shì isn't,t,
50,50,5,了,le,<verb particle marking a new situation or a completed action>,s,
51,51,5,了,le,<verb particle marking a new situation or a completed action>,t,
52,52,5,你来了!,Nǐ láile!,You are here!,s,
53,53,5,你來了!,Nǐ láile!,You are here!,t,
54,54,5,了解,Liǎojiě," liǎojiě) understand, comprehend",s,
55,55,5,了解,Liǎojiě,"end, finish, settle, dispose of, know clearly, to be able, (Equivalent:  了解 liǎojiě) understand, comprehend",t,
56,56,5,了了,Liǎoliǎo," liǎoliaǒ clearly understand, settle (a debt/etc.), to be intelligent",s,
57,57,5,了了,Liǎoliǎo,"了了 liǎoliaǒ clearly understand, settle (a debt/etc.), to be intelligent",t,
58,58,5,了了,Liǎoliǎo, liǎole to be over/ended/finnish/settled,s,
59,59,5,了了,Liǎoliǎo,了了 liǎole to be over/ended/finnish/settled,t,
60,60,5,你卖不了,Nǐ mài bùliǎo,! Nǐ mài bùliǎo! You will not be able to sell (it)!,s,
61,61,5,你賣不了,Nǐ mài bùliǎo,你賣不了! Nǐ mài bùliǎo! You will not be able to sell (it)!,t,
62,62,5,瞭,liào,"to survey/watch{Compare with 子, zǐ child}",s,
63,63,5,瞭,liào,"to survey/watch{Compare with 子, zǐ child}",t,
64,64,6,人,rén,person,s,
65,65,6,人,rén,person,t,
66,66,6,人类,Rénlèi, rénlèi humankind,s,
67,67,6,人類,Rénlèi,人類 rénlèi humankind,t,
68,68,6,有人吗?,Yǒurén ma?,yǒu rén ma? Is there anybody here?,s,
69,69,6,有人嗎?,Yǒurén ma?,yǒu rén ma? Is there anybody here?,t,
70,70,7,我,wǒ,"I, me, my",s,
71,71,7,我,wǒ,"I, me, my",t,
72,72,7,我们,Wǒmen,"wǒmen we, us{Compare with 找 zhǎo seek}",s,
73,73,7,我們,Wǒmen,"wǒmen we, us{Compare with 找 zhǎo seek}",t,
74,74,8,在,zài,exist,s,
75,75,8,在,zài,exist,t,
76,76,8,现在,Xiànzài,Now,s,
77,77,8,現在,Xiànzài,now,t,
78,78,8,存在,Cúnzài, cúnzài exist,s,
79,79,8,存在,Cúnzài,存在 cúnzài exist,t,
80,80,9,有,yǒu,"have, there is",s,
81,81,9,有,yǒu,"have, there is",t,
82,82,9,没有,Méiyǒu," méiyǒu haven't, there isn't",s,
83,83,9,沒有,Méiyǒu,"沒有 méiyǒu haven't, there isn't",t,
84,84,9,有没有,Yǒu méiyǒu,? Yǒuméiyǒu? Is there or isn't there? Have (you) or haven't (you)?,s,
85,85,9,有沒有,Yǒu méiyǒu,有沒有? Yǒuméiyǒu? Is there or isn't there? Have (you) or haven't (you)?,t,
86,86,9,有的,Yǒu de, yǒude some,s,
87,87,9,有的,Yǒu de,有的 yǒude some,t,
88,88,9,有,yòu,"(Equivalent:  又 yòu) again, both... and...",s,
89,89,9,有,yòu,"(Equivalent:  又 yòu) again, both... and...",t,
90,90,10,他,tā,"he, him, his, (she, her, it, its), (Equivalent:  其他 qítā) other",s,
91,91,10,他,tā,"he, him, his, (she, her, it, its), (Equivalent:  其他 qítā) other",t,
92,92,10,他,tuō,"(in classical texts) someone else, something else",s,
93,93,10,他,tuō,"(in classical texts) someone else, something else",t,
94,94,11,这,zhè,this,s,
95,95,11,這,zhè,this,t,
96,96,11,这儿,Zhè'er, zhèr here,s,
97,97,11,這兒,Zhè'er,這兒 zhèr here,t,
98,98,11,这,zhèi,this (before classifier),s,
99,99,11,這,zhèi,this (before classifier),t,
100,100,12,中,zhōng,"middle, in",s,
101,101,12,中,zhōng,"middle, in",t,
102,102,12,中国,Zhōngguó, Zhōngguó China,s,
103,103,12,中國,Zhōngguó,中國 Zhōngguó China,t,
104,104,12,中,zhòng,hit (a target),s,
105,105,12,中,zhòng,hit (a target),t,
106,106,13,大,dà,big,s,
107,107,13,大,dà,big,t,
108,108,13,多大,Duōdà,? duōdà? how large?,s,
109,109,13,多大,Duōdà,多大? duōdà? how large?,t,
110,110,13,大小,Dàxiǎo, dàxiǎo size,s,
111,111,13,大小,Dàxiǎo,大小 dàxiǎo size,t,
112,112,13,大家,Dàjiā, dàjiā everybody,s,
113,113,13,大家,Dàjiā,大家 dàjiā everybody,t,
114,114,13,大夫,Dàfū,dàifu doctor{Compare with 太 tài very and 木 mù tree},s,
115,115,13,大夫,Dàfū,dàifu doctor{Compare with 太 tài very and 木 mù tree},t,
116,116,14,来,lái,come,s,
117,117,14,來,lái,come,t,
118,118,14,原来,Yuánlái," yuánlái originally, as a matter of fact",s,
119,119,14,原來,Yuánlái,"原來 yuánlái originally, as a matter of fact",t,
120,120,14,来年,Láinián, láinián coming/next year(s),s,
121,121,14,來年,Lái nián,來年 láinián coming/next year(s),t,
122,122,14,来,lai,(when used as a verb complement),s,
123,123,14,來,lai,(when used as a verb complement),t,
124,124,14,起来,Qǐlái, qǐlai get up,s,
125,125,14,起來,Qǐlái,起來 qǐlai get up,t,
126,126,15,上,shàng,"above, on, over, top, (go) up, last, previous",s,
127,127,15,上,shàng,"above, on, over, top, (go) up, last, previous",t,
128,128,15,上声,Shàng shēng, shǎngshēng 3rd tone in Mandarin,s,
129,129,15,上聲,Shàng shēng,上聲 shǎngshēng 3rd tone in Mandarin,t,
130,130,15,上,shang,(when used as a verb complement){Compare with 下 xià under},s,
131,131,15,上,shang,(when used as a verb complement){Compare with 下 xià under},t,
132,132,16,国,guó,"(Equivalent:  国家 guójiā) country, state, nation, <family name>",s,
133,133,16,國,guó,"(Equivalent:  國家 guójiā) country, state, nation, <family name>",t,
134,134,16,中国,Zhōngguó, Zhōngguó China,s,
135,135,16,中國,Zhōngguó,中國 Zhōngguó China,t,
136,136,16,美国,Měiguó,USA,s,
137,137,16,美國,Měiguó,America,t,
138,138,17,个,gè,<general and non-specific classifier>,s,
139,139,17,個,gè,<general and non-specific classifier>,t,箇
140,140,17,个人,Gèrén, gèrén personal,s,
141,141,17,個人,Gèrén,個人 gèrén personal,t,
142,142,17,个人主页,Gèrén zhǔyè, gèrénzhùyè personal homepage,s,
143,143,17,個人主頁,Gèrén zhǔyè,個人主頁 gèrénzhùyè personal homepage,t,
144,144,17,自个,Zì gě, zìgě oneself,s,
145,145,17,自個,Zì gě,自個 zìgě oneself,t,
146,146,18,到,dào,"to, towards, until, arrive, reach",s,
147,147,18,到,dào,"to, towards, until, arrive, reach",t,
148,148,19,说,shuō,"explain, scold, refer to, (Equivalent:  说话 shuōhuà) speak, say",s,
149,149,19,說,shuō,"explain, scold, refer to, (Equivalent:  說話 shuōhuà) speak, say",t,
150,150,19,游说,Yóushuì, yóushuō persuade,s,
151,151,19,游說,Yóushuō,游說 yóushuō persuade,t,
152,152,19,说,shuì,try to persuade,s,
153,153,19,說,shuì,try to persuade,t,
154,154,19,游说,Yóushuì, yóushuì lobbying,s,
155,155,19,游說,Yóushuō,游說 yóushuì lobbying,t,
156,156,20,们,men,(pluralizing suffix for pronouns and human nouns),s,
157,157,20,們,men,(pluralizing suffix for pronouns and human nouns),t,
158,158,20,我们,Wǒmen,us,s,
159,159,20,我們,Wǒmen,we,t,
160,160,20,人们,Rénmen, rénmen people,s,
161,161,20,人們,Rénmen,人們 rénmen people,t,
162,162,21,为,wèi,"for, for the sake of, in order to, in this connection",s,
