cat,word/character,pronunciation,definition,code,alt
1,的,de,<grammatical particle marking genitive as well as simple and composed adjectives>,s,
1,的,de,<grammatical particle marking genitive as well as simple and composed adjectives>,t,
1,的,dí,"true, real",s,
1,的,dí,"true, real",t,
2,一,yī,"one, a little",s,壹
2,一,yī,"one, a little",t,壹
2,一,yí,(used before tones #4 and #5),s,壹
2,一,yí,(used before tones #4 and #5),t,壹
2,一,yì,"(used before tones #1, #2 and #3)",s,壹
2,一,yì,"(used before tones #1, #2 and #3)",t,壹
3,是,shì,"to be, 是不是? shìbushì? is (it) or is (it) not?",s,
3,是,shì,"to be, 是不是? shìbushì? is (it) or is (it) not?",t,
4,不,bù,not,s,
4,不,bù,not,t,
4,不,bú,(used before tone #4),s,
4,不,bú,(used before tone #4),t,
5,了,le,<verb particle marking a new situation or a completed action>,s,
5,了,le,<verb particle marking a new situation or a completed action>,t,
6,人,rén,person,s,
6,人,rén,person,t,
7,我,wǒ,"I, me, my",s,
7,我,wǒ,"I, me, my",t,
8,在,zài,at,s,
8,在,zài,at,t,
9,有,yǒu,"have, there is",s,
9,有,yǒu,"have, there is",t,
9,有,yòu,"(=又 yòu) again, both... and...",s,
9,有,yòu,"(=又 yòu) again, both... and...",t,
10,他,tā,"he, him, his, (she, her, it, its), (=其他 qítā) other",s,
10,他,tā,"he, him, his, (she, her, it, its), (=其他 qítā) other",t,
10,他,tuō,"(in classical texts) someone else, something else",s,
10,他,tuō,"(in classical texts) someone else, something else",t,
11,这,zhè,this,s,
11,這,zhè,this,t,
11,这,zhèi,this (before classifier),s,
11,這,zhèi,this (before classifier),t,
12,中,zhōng,"middle, in",s,
12,中,zhōng,"middle, in",t,
12,中,zhòng,hit (a target),s,
12,中,zhòng,hit (a target),t,
13,大,dà,big,s,
13,大,dà,big,t,
14,来,lái,come,s,
14,來,lái,come,t,
14,来,lai,(when used as a verb complement),s,
14,來,lai,(when used as a verb complement),t,
15,上,shàng,"above, on, over, top, (go) up, last, previous",s,
15,上,shàng,"above, on, over, top, (go) up, last, previous",t,
15,上,shang,(when used as a verb complement){Compare with 下 xià under},s,
15,上,shang,(when used as a verb complement){Compare with 下 xià under},t,
16,国,guó,"(=国家 guójiā) country, state, nation, <family name>",s,
16,國,guó,"(=国家 guójiā) country, state, nation, <family name>",t,
17,个,gè,<general and non-specific classifier>,s,
18,到,dào,"to, towards, until, arrive, reach",s,
18,到,dào,"to, towards, until, arrive, reach",t,
19,说,shuō,"explain, scold, refer to, (=说话 shuōhuà) speak, say",s,
19,說,shuō,"explain, scold, refer to, (=说话 shuōhuà) speak, say",t,
19,说,shuì,try to persuade,s,
19,說,shuì,try to persuade,t,
20,们,men,(pluralizing suffix for pronouns and human nouns),s,
20,們,men,(pluralizing suffix for pronouns and human nouns),t,
21,为,wèi,"for, for the sake of, in order to, in this connection",s,
21,為,wèi,"for, for the sake of, in order to, in this connection",t,
21,为,wéi,"do, act, act as, be, become",s,
21,為,wéi,"do, act, act as, be, become",t,
